Object Type	SUBDATA Allowed	Key/Required Fields	Variable Name	Concise Variable Name	Type of Variable	Description
		*A*	AreaName		String	'The name of the area'
		*1*	AreaNum		Integer	'The number of the area'
		**	GenericCostMWh		Real	'$/MWh'
		*2B*	GenericMW		Real	'MW'
AreaTieLine
			AreaName		String	'Area Name at Near Bus'
			AreaName:1		String	'Area Name at Far Bus'
			AreaNum		Integer	'Area Num at Near Bus'
			AreaNum:1		Integer	'Area Num at Far Bus'
			BusKVVolt		Real	'Volt (kV) at Near Bus'
			BusKVVolt:1		Real	'Volt (kV) at Far Bus'
			BusName		String	'Name at Near Bus'
			BusName:1		String	'Name at Far Bus'
			BusName_NomVolt		String	'Name_Nominal kV at Near Bus'
			BusName_NomVolt:1		String	'Name_Nominal kV at Far Bus'
			BusNomVolt		Real	'Nom kV at Near Bus'
			BusNomVolt:1		Real	'Nom kV at Far Bus'
			BusNum		Integer	'Number at Near Bus'
			BusNum:1		Integer	'Number at Far Bus'
			BusPUVolt		Real	'PU Volt at Near Bus'
			BusPUVolt:1		Real	'PU Volt at Far Bus'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
			GICLineAngle		Real	'Compass angle in degrees of the straightline between the line's from and to substation; north is 0 degrees'
			GICLineDCFlow		Real	'Geomagnetic induced current dc amps per phase; brnanch total is three times this value at Metered Bus'
			GICLineDCFlow:1		Real	'Geomagnetic induced current dc amps per phase; brnanch total is three times this value at non-Metered Bus'
			GICLineDCFlowMag		Real	'Geomagnetic induced current dc amp magnitude per phase; total for branch is three times this value at Metered Bus'
			GICLineDCFlowMag:1		Real	'Geomagnetic induced current dc amp magnitude per phase; total for branch is three times this value at non-Metered Bus'
			GICLineDistance		Real	'Distance between the line's substations; units are either miles or kms based on the GIC distance option'
			GICObjectInputDCVolt		Real	'GIC series dc voltage in line with assumed positive polarity on the from end'
			GICResistance		Real	'Per phase resistance for branch in ohms; total for all three phases is 1/3 this value'
			Latitude		Real	'Latitude at Near Bus'
			Latitude:1		Real	'Latitude at Far Bus'
			LineAmp		Real	'Amps at Metered Bus'
			LineAmp:1		Real	'Amps at non-Metered Bus'
			LineAMVA		Real	'Limit A MVA'
			LineAMVA:1		Real	'Limit B MVA'
			LineAMVA:2		Real	'Limit C MVA'
			LineAMVA:3		Real	'Limit D MVA'
			LineAMVA:4		Real	'Limit E MVA'
			LineAMVA:5		Real	'Limit F MVA'
			LineAMVA:6		Real	'Limit G MVA'
			LineAMVA:7		Real	'Limit H MVA'
			LineAMVA:8		Real	'Limit I MVA'
			LineAMVA:9		Real	'Limit J MVA'
			LineAMVA:10		Real	'Limit K MVA'
			LineAMVA:11		Real	'Limit L MVA'
			LineAMVA:12		Real	'Limit M MVA'
			LineAMVA:13		Real	'Limit N MVA'
			LineAMVA:14		Real	'Limit O MVA'
			LineC		Real	'B'
			LineCircuit		String	'Circuit'
			LineG		Real	'G'
			LineLimMVA		Real	'Lim MVA'
			LineLossMVR		Real	'Mvar Loss'
			LineLossMW		Real	'MW Loss'
			LineMaxMVA		Real	'Max MVA'
			LineMaxNomVolt		Real	'Nom kV (Max)'
			LineMinNomVolt		Real	'Nom kV (Min)'
			LineMVA		Real	'MVA at Metered Bus'
			LineMVA:1		Real	'MVA at non-Metered Bus'
			LineMVR		Real	'Mvar at Metered Bus'
			LineMVR:1		Real	'Mvar at non-Metered Bus'
			LineMW		Real	'MW at Metered Bus'
			LineMW:1		Real	'MW at non-Metered Bus'
			LinePercent		Real	'% of MVA Limit at Metered Bus'
			LinePercent:1		Real	'% of MVA Limit at non-Metered Bus'
			LinePhase		Real	'Phase (Deg)'
			LinePTDF		Real	'% PTDF at Metered Bus'
			LinePTDF:1		Real	'% PTDF at non-Metered Bus'
			LineR		Real	'R'
			LineStatus		String	'Status'
			LineTap		Real	'Tap Ratio'
			LineX		Real	'X'
			Longitude		Real	'Longitude at Near Bus'
			Longitude:1		Real	'Longitude at Far Bus'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
			ObjectType		String	'Tie Type'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
			SubID		String	'Sub ID at Near Bus'
			SubID:1		String	'Sub ID at Far Bus'
			SubName		String	'Substation Name at Near Bus'
			SubName:1		String	'Substation Name at Far Bus'
			SubNum		Integer	'Substation Number at Near Bus'
			SubNum:1		Integer	'Substation Number at Far Bus'
			ZoneName		String	'Zone Name at Near Bus'
			ZoneName:1		String	'Zone Name at Far Bus'
			ZoneNum		Integer	'Zone Num at Near Bus'
			ZoneNum:1		Integer	'Zone Num at Far Bus'
ArevaDisplayMapping
	ArevaTranslation
		*1*	ArevaDisplaySet		String	'Areva Display File Set'
		*2*	ArevaKeyword		String	'Areva Display File Keyword'
		*3*	ArevaKeywordParam		String	'Areva Display File Keyword Parameter'
ATCExtraMonitor
	ATCFlowValue
		*3B*	ATCGenChanges		Integer	'ATCScenario The generator ATC scenario number.  Starts with zero (0) and counts up.'
			ATCGenChangesName		String	'ATCScenario The generator ATC scenario name'
		*4C*	ATCInterfaceChanges		Integer	'ATCScenario The interface ATC scenario number.  Starts with zero (0) and counts up.'
			ATCInterfaceChangesName		String	'ATCScenario The interface ATC scenario name'
		*2A*	ATCLineZoneChanges		Integer	'ATCScenario The line/zone ATC load scenario number.  Starts with zero (0) and counts up.'
			ATCLineZoneChangesName		String	'ATCScenario The line/zone ATC scenario name'
			ATC_ExtraMonitor		Real	'Base Value'
			ATC_ExtraMonitorSens		Real	'Sensitivity'
			ATC_ExtraMonitorSens:1		Real	'Relative Monitor Sensitivity Constant'
			FGLim		Real	'Monitor Limit'
		*1*	WhoAmI		String	'ATC Extra Monitor Object File Format'
			WhoAmI:1		String	'ATC Extra Monitor Desc'
			WhoAmI:2		String	'ATC Extra Monitor Object'
ATCFlowValue
			ATCEMFlow		Real	'Flow'
		*5D*	ATCEMID		Integer	'Identifier'
			ATCEMTransferLevel		Real	'Transfer Level'
		*3B*	ATCGenChanges		Integer	'ATCScenario The generator ATC scenario number.  Starts with zero (0) and counts up.'
			ATCGenChangesName		String	'ATCScenario The generator ATC scenario name'
		*4C*	ATCInterfaceChanges		Integer	'ATCScenario The interface ATC scenario number.  Starts with zero (0) and counts up.'
			ATCInterfaceChangesName		String	'ATCScenario The interface ATC scenario name'
		*2A*	ATCLineZoneChanges		Integer	'ATCScenario The line/zone ATC load scenario number.  Starts with zero (0) and counts up.'
			ATCLineZoneChangesName		String	'ATCScenario The line/zone ATC scenario name'
			CustomExpression		Real	'Any number of expressions may be defined for an object.  This represents Expression 1 It will be blank if no expression specified'
			CustomExpression:1		Real	'Any number of expressions may be defined for an object.  This represents Expression 2 It will be blank if no expression specified'
			CustomExpressionStr		String	'Any number of string expressions may be defined for an object.  This represents String Expression 1 It will be blank if no string expression specified'
			CustomExpressionStr:1		String	'Any number of string expressions may be defined for an object.  This represents String Expression 2 It will be blank if no string expression specified'
			ObjectID		String	'When writing out this field uses option key fields to use in SUBDATA Section to identify the object either by primary, secondary, or label identifier.  When reading from an AUX file we will attempt to use any of these identifiers to identify the object'
			Selected		String	'YES or NO field which displays if record has been selected.  The field can be used in combination with numerous script commands in auxiliary files.  Is also used to help choose records in the user interface sometimes'
		*1*	WhoAmI		String	'ATC Extra Monitor Object File Format'
			WhoAmI:1		String	'ATC Extra Monitor Desc'
			WhoAmI:2		String	'ATC Extra Monitor Object'
ATCGeneratorChange
			BusName		String	'Name of the bus'
		*1*	BusNum		Integer	'Number of the bus'
		*2B*	GenID		String	'2 character generator identification field.  Used to identify multiple generators at a single bus'
			Label		String	'This field is when reading from an auxiliary file (or pasting from a spreadsheet).  The label field will automatically be used as the identifying field for the object.  When shown in the user interface, the field will always shown the primary label'
			ScenarioChange		Real	'G0, these will contain the outputs for the various scenarios.  There are actually fields all the way up to G1023'
			ScenarioChange:1		Real	'G1, these will contain the outputs for the various scenarios.  There are actually fields all the way up to G1023'
			ScenarioChange:2		Real	'G2, these will contain the outputs for the various scenarios.  There are actually fields all the way up to G1023'
ATCInterfaceChange
		*1*	FGName		String	'Name'
			IntNum		Integer	'Number'
			ScenarioChange		Real	'I0, these will contain the outputs for the various scenarios.  There are actually fields all the way up to I1023'
			ScenarioChange:1		Real	'I1, these will contain the outputs for the various scenarios.  There are actually fields all the way up to I1023'
			ScenarioChange:2		Real	'I2, these will contain the outputs for the various scenarios.  There are actually fields all the way up to I1023'
ATCLineChange
			BusName		String	'Name at From bus'
			BusName:1		String	'Name at To Bus'
		*1*	BusNum		Integer	'Number at From bus'
		*2*	BusNum:1		Integer	'Number at To bus'
			Label		String	'This field is when reading from an auxiliary file (or pasting from a spreadsheet).  The label field will automatically be used as the identifying field for the object.  When shown in the user interface, the field will always shown the primary label'
		*3C*	LineCircuit		String	'Circuit'
			ScenarioChange		Real	'RL0, these will contain the outputs for the various scenarios.  There are actually fields all the way up to RL1023'
			ScenarioChange:1		Real	'RL1, these will contain the outputs for the various scenarios.  There are actually fields all the way up to RL1023'
			ScenarioChange:2		Real	'RL2, these will contain the outputs for the various scenarios.  There are actually fields all the way up to RL1023'
